hip,ra,dec,mag,spect,con,proper,dist,bayer
61084,12.519429,-57.113212,1.59,M4III,Cru,Gacrux,27.1518,Gam
61941,12.694345,-1.449375,2.74,F0V+...,Vir,Porrima,11.685,Gam
62434,12.795359,-59.688764,1.25,B0.5III,Cru,Mimosa,85.3971,Bet
63090,12.926725,3.39747,3.39,M3III,Vir,Minelauva,60.8273,Del
63608,13.036278,10.95915,2.85,G8IIIvar,Vir,Vindemiatrix,33.6022,Eps
65474,13.419883,-11.161322,0.98,B1V,Vir,Spica,76.5697,Alp
66249,13.57822,-0.59582,3.38,A3V,Vir,Heze,22.7118,Zet
67459,13.824623,15.797905,4.05,K5IIIvar,Boo,,80.7754,Ups
67927,13.911411,18.397717,2.68,G0IV,Boo,Muphrid,11.396,Eta
68520,14.027443,1.544532,4.23,A3V,Vir,,68.9655,Tau
69427,14.214929,-10.273702,4.18,K3III,Vir,Kang,78.125,Kap
69673,14.26103,19.18241,-0.05,K2IIIp,Boo,Arcturus,11.2575,Alp
69701,14.266908,-6.000547,4.07,F7V,Vir,Syrma,22.237,Iot
71053,14.5305,30.371437,3.57,K3III,Boo,,49.0918,Rho
71075,14.534636,38.308253,3.04,A7IIIvar,Boo,Seginus,26.6099,Gam
71795,14.68582,13.7283,3.78,A3IVn,Boo,,53.8793,Zet
71957,14.717673,-5.658207,3.87,F2III,Vir,,18.2715,Mu
72105,14.749784,27.074222,2.35,A0,Boo,Izar,62.1118,Eps
72220,14.770812,1.892885,3.73,A0V,Vir,,41.2371,
72607,14.845105,74.155505,2.07,K4IIIvar,UMi,Kochab,40.1445,Bet
73555,15.032436,40.390566,3.49,G8III,Boo,Nekkar,69.0608,Bet
74666,15.258376,33.314833,3.46,G8III,Boo,,37.3413,Del
75097,15.345483,71.834016,3.0,A3II-III,UMi,Pherkad,149.2537,Gam
77055,15.734299,77.794493,4.29,A3Vn,UMi,,113.1222,Zet
78265,15.980865,-26.114105,2.89,B1V + B2V,Sco,Fang,179.5332,Pi
78401,16.005557,-22.62171,2.29,B0.2IV,Sco,Dschubba,150.6024,Del
78820,16.09062,-19.805453,2.56,B0.5V,Sco,Acrab,123.9157,Bet-1
79822,16.291791,75.75533,4.95,F5V,UMi,,29.7354,Eta
80763,16.490128,-26.432002,1.06,M1Ib + B2.5V,Sco,Antares,169.7793,Alp
81266,16.598043,-28.216016,2.82,B0V,Sco,Paikauhale,145.3488,Tau
